BATSMAN ,BOWLER ,RUNS
SR Watson ,A Kumble ,45
CH Gayle ,A Nehra ,45
KA Pollard ,YS Chahal ,45
JH Kallis ,DJ Bravo ,45
KA Pollard ,Z Khan ,45
KP Pietersen ,Harbhajan Singh ,45
SK Raina ,DR Smith ,45
SR Watson ,RJ Harris ,45
Yuvraj Singh ,Harbhajan Singh ,45
SK Raina ,R Bhatia ,45
DA Miller ,R Ashwin ,45
SE Marsh ,SK Raina ,45
DR Smith ,SK Trivedi ,45
DR Smith ,B Kumar ,45
AC Gilchrist ,DP Nannes ,45
RV Uthappa ,SK Trivedi ,45
RV Uthappa ,CH Morris ,45
BJ Hodge ,DW Steyn ,45
SC Ganguly ,YK Pathan ,45
DPMD Jayawardene ,PP Ojha ,44
SE Marsh ,DW Steyn ,44
DR Smith ,MM Sharma ,44
MK Pandey ,Sandeep Sharma ,44
AM Rahane ,P Kumar ,44
G Gambhir ,HV Patel ,44
G Gambhir ,VR Aaron ,44
MS Dhoni ,CH Gayle ,44
DA Warner ,DJ Bravo ,44
DA Warner ,Z Khan ,44
SE Marsh ,JA Morkel ,44
MS Dhoni ,RP Singh ,44
MS Dhoni ,L Balaji ,44
LRPL Taylor ,M Kartik ,44
DPMD Jayawardene ,AB Agarkar ,44
AM Rahane ,HH Pandya ,44
SR Tendulkar ,SK Warne ,44
MEK Hussey ,A Mishra ,44
ML Hayden ,RP Singh ,44
AT Rayudu ,DJ Bravo ,44
JP Duminy ,M Muralitharan ,44
SPD Smith ,RA Jadeja ,44
CA Lynn ,YS Chahal ,44
SE Marsh ,JP Faulkner ,44
YK Pathan ,RP Singh ,44
AT Rayudu ,Z Khan ,44
SC Ganguly ,MM Patel ,44
DR Smith ,I Sharma ,44
AT Rayudu ,PP Chawla ,44
DA Warner ,DS Kulkarni ,44
BJ Hodge ,PP Ojha ,44
YK Pathan ,R Ashwin ,43
SR Tendulkar ,NLTC Perera ,43
V Kohli ,KC Cariappa ,43
CH Gayle ,AG Murtaza ,43
YK Pathan ,M Muralitharan ,43
G Gambhir ,MM Patel ,43
MK Pandey ,Karanveer Singh ,43
SK Raina ,RR Powar ,43
AD Mathews ,M Muralitharan ,43
S Dhawan ,JH Kallis ,43
V Sehwag ,R Sharma ,43
DA Miller ,A Mishra ,43
AB de Villiers ,PP Chawla ,43
DA Miller ,B Kumar ,43
MS Dhoni ,MG Johnson ,43
G Gambhir ,Sandeep Sharma ,43
AB de Villiers ,SK Warne ,43
M Vohra ,M Morkel ,43
MS Dhoni ,SR Watson ,43
G Gambhir ,DS Kulkarni ,43
KC Sangakkara ,DL Vettori ,43
GJ Maxwell ,DR Smith ,43
PA Patel ,Z Khan ,43
Yuvraj Singh ,MM Sharma ,43
DA Warner ,Anureet Singh ,43
AM Rahane ,IK Pathan ,43
G Gambhir ,R Ashwin ,43
A Symonds ,SK Trivedi ,43
AD Russell ,Anureet Singh ,43
M Vijay ,Harbhajan Singh ,43
G Gambhir ,TG Southee ,43
R Dravid ,Harmeet Singh ,42
AM Rahane ,SP Narine ,42
S Badrinath ,Harbhajan Singh ,42
LMP Simmons ,DW Steyn ,42
RV Uthappa ,IC Pandey ,42
V Sehwag ,R Ashwin ,42
RV Uthappa ,JA Morkel ,42
M Vijay ,Iqbal Abdulla ,42
SR Watson ,Z Khan ,42
CH Gayle ,RA Jadeja ,42
RV Uthappa ,KA Pollard ,42
KL Rahul ,MJ McClenaghan ,42
SC Ganguly ,IK Pathan ,42
AB de Villiers ,L Balaji ,42
R Dravid ,JH Kallis ,42
V Sehwag ,MS Gony ,42
DA Warner ,RP Singh ,42
S Dhawan ,JJ Bumrah ,42
SK Raina ,NLTC Perera ,42
MK Tiwary ,IK Pathan ,42
AB de Villiers ,R Ashwin ,42
KA Pollard ,PP Chawla ,42
RV Uthappa ,Z Khan ,42
S Dhawan ,A Nehra ,42
M Vijay ,RJ Harris ,42
Yuvraj Singh ,R Ashwin ,42
DA Miller ,JP Faulkner ,42
AC Gilchrist ,Z Khan ,42
SR Watson ,I Sharma ,42
DA Warner ,DW Steyn ,42
AT Rayudu ,KK Cooper ,42
JD Ryder ,KMDN Kulasekara ,42
S Dhawan ,YK Pathan ,42
GJ Bailey ,MM Sharma ,42
CL White ,RJ Harris ,42
G Gambhir ,GJ Maxwell ,42
JH Kallis ,Yuvraj Singh ,42
GJ Maxwell ,Imran Tahir ,41
DJ Hussey ,R Bhatia ,41
AC Gilchrist ,L Balaji ,41
